AuthorName,EssayName,ParagraphNumber,CharacterName         ,Dialogue                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,compound,VADER_Sentiment,BERT_Sentiment,BERT_Emotion,Dominant_Topic,Topic_Perc_Contrib ,Keywords
Aeschylus ,Agamemnon,1              ,Watchman              ,"       Release from this weary task of mine has been my plea to the gods throughout this long year's watch, in which, lying upon the palace roof of the Atreidae, upon my bent arm, like a dog, I have learned to know well the gathering of the night's stars, those radiant potentates conspicuous in the firmament, bringers of winter and summer to mankind [the constellations, when they rise and set]. So now I am still watching for the signal-flame, the gleaming fire that is to bring news from  Troy  and tidings of its capture.  For thus commands my queen, woman in passionate heart and man in strength of purpose.  And whenever I make here my bed, restless and dank with dew and unvisited by dreams—for instead of sleep fear stands ever by my side, so that I cannot close my eyelids fast in sleep—and whenever I care to sing or hum （and thus apply an antidote of song to ward off drowsiness）, then my tears start forth, as I bewail the fortunes of this house of ours, not ordered for the best as in days gone by. But tonight may there come a happy release from my weary task!  May the fire with its glad tidings flash through the gloom! stage  The signal fire suddenly flashes out Oh welcome, you blaze in the night, a light as if of day, you harbinger of many a choral dance in  Argos  in thanksgiving for this glad event!  Hallo! Hallo!  To Agamemnon's queen I thus cry aloud the signal to rise from her bed, and as quickly as she can to lift up in her palace halls a shout of joy in welcome of this fire, if the city of  Ilium  truly is taken, as this beacon unmistakably announces.  And I will make an overture with a dance upon my own account; for my lord's lucky roll I shall count to my own score, now that this beacon has thrown me triple six. Ah well, may the master of the house come home and may I clasp his welcome hand in mine!  For the rest I stay silent; a great ox stands upon my tongue —yet the house itself, could it but speak, might tell a plain enough tale; since, for my part, by my own choice I have words for those who know, and to those who do not know, I've lost my memory.stage  He descends by an inner stairway; attendants kindle fires at the altars placed in front of the palace. Enter the chorus of Argive Elders"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0.958   ,positive       ,positive      ,joy         ,Topic 6       ,0.7296000123023987 ,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,2              ,Chorus                ," This is now the tenth year since Priam's mighty adversary, king Menelaus, and with him king Agamemnon, the mighty pair of Atreus' sons, joined in honor of throne and sceptre by Zeus, set forth from this land with an army of a thousand ships manned by Argives, a warrior force to champion their cause. Loud rang the battle-cry they uttered in their rage, just as eagles scream which, in lonely grief for their brood, rowing with the oars of their wings, wheel high over their bed, because they have lost the toil of guarding their nurslings' nest.  But some one of the powers supreme—Apollo perhaps or Pan, or Zeus—hears the shrill wailing scream of the clamorous birds, these sojourners in his realm, and against the transgressors sends vengeance at last though late. Even so Zeus, whose power is over all, Zeus, lord of host and guest, sends against Alexander the sons of Atreus, that for the sake of a woman with many husbands he may inflict many and wearying struggles （when the knee is pressed in the dust and the spear is splintered in the onset） on Danaans and on Trojans alike. The case now stands where it stands—it moves to fulfilment at its destined end.  Not by offerings burned in secret, not by secret libations, not by tears, shall man soften the stubborn wrath of unsanctified sacrifices.  But we, incapable of service by reason of our aged frame, discarded from that martial mustering of long ago, wait here at home, supporting on our canes a strength like a child's.  For just as the vigor of youth, leaping up within the breast, is like that of old age, since the war-god is not in his place; so extreme age, its leaves already withering, goes its way on triple feet, and, no better than a child, wanders, a dream that is dreamed by day.  But, O daughter of Tyndareos, Queen Clytaemestra, what has happened?  What news do you have?  On what intelligence and convinced by what report do you send about your messengers to command sacrifice?  For all the gods our city worships, the gods supreme, the gods below, the gods of the heavens and of the marketplace, have their altars ablaze with offerings.  Now here, now there, the flames rise high as heaven, yielding to the soft and guileless persuasion of holy ointment, the sacrificial oil itself brought from the inner chambers of the palace.  Of all this declare whatever you can and dare reveal, and be a healer of my uneasy heart. This now at one moment bodes ill, while then again hope, shining with kindly light from the sacrifices, wards off the biting care of the sorrow that gnaws my heart."                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.9383  ,positive       ,positive      ,sadness     ,Topic 6       ,0.4235999882221222 ,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,3              ,Chorus                ,"I have the power to proclaim the augury of triumph given on their way to princely men—since my age  Sing the song of woe, the song of woe, but may the good prevail!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0.5255  ,positive       ,positive      ,fear        ,Topic 6       ,0.48399999737739563,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,4              ,Chorus                ,"     Then the wise seer of the host, noticing how the two warlike sons of Atreus were two in temper, recognized the devourers of the hare as the leaders of the army, and thus interpreted the portent and spoke:  “In time those who here issue forth shall seize Priam's town, and fate shall violently ravage before its towered walls all the public store of cattle. Only may no jealous god-sent wrath cast its shadow upon the embattled host, the mighty bit forged for  Troy 's mouth, and strike it before it reaches its goal! For, in her pity, holy Artemis is angry at the winged hounds of her father, for they sacrifice a wretched timorous thing, together with her young, before she has brought them forth.  An abomination to her is the eagles' feast.” Sing the song of woe, the song of woe, but may the good prevail!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-0.7707 ,negative       ,negative      ,sadness     ,Topic 6       ,0.5006999969482422 ,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,5              ,Chorus                ," “Although, O Lovely One, you are so gracious to the tender whelps of fierce lions, and take delight in the suckling young of every wild creature that roams the field, promise that the issue be brought to pass in accordance with these signs, portents auspicious yet filled with ill.  And I implore Paean , the healer, that she may not raise adverse gales with long delay to stay the Danaan fleet from putting forth, by urging another sacrifice, one that knows no law, unsuited for feast, worker of family strife, dissolving wife's reverence for husband.  For there abides wrath— terrible, not to be suppressed, a treacherous guardian of the home, a wrath that never forgets and that exacts vengeance for a child.” Such utterances of doom, derived from auguries on the march, together with many blessings, did Calchas proclaim to the royal house; and in harmony with this, Sing the song of woe, the song of woe, but may the good prevail!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.805   ,positive       ,positive      ,fear        ,Topic 4       ,0.5065000057220459 ,"[['god', 20.91], ['zeus', 15.33], ['like', 9.56], ['land', 8.45], ['cry', 8.26], ['mother', 7.79], ['lord', 7.79], ['earth', 7.68], ['woman', 7.19], ['come', 7.04]]"
Aeschylus ,Agamemnon,6              ,Chorus                ," Zeus, whoever he may be,—if by this name it pleases him to be invoked, by this name I call to him—as I weigh all things in the balance, I have nothing to compare save “Zeus,”  if in truth I must cast aside this vain burden from my heart."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-0.5828 ,negative       ,positive      ,sadness     ,Topic 1       ,0.5299000144004822 ,"[['man', 15.42], ['father', 12.72], ['come', 10.84], ['one', 10.72], ['would', 10.5], ['god', 8.97], ['word', 8.61], ['let', 7.74], ['know', 7.45], ['may', 7.03]]"
Aeschylus ,Agamemnon,8              ,Chorus                ,"Zeus, who sets mortals on the path to understanding, Zeus, who has established as a fixed law that “wisdom comes by suffering.”  But even as trouble, bringing memory of pain, drips over the mind in sleep, so wisdom comes to men, whether they want it or not. Harsh, it seems to me, is the grace of gods enthroned upon their awful seats."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0.2197  ,positive       ,positive      ,sadness     ,Topic 6       ,0.5756999850273132 ,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,9              ,Chorus                ,"So then the captain of the Achaean ships, the elder of the two— holding no seer at fault, bending to the adverse blasts of fortune, when the Achaean folk, on the shore over against  Chalcis  in the region where  Aulis ' tides surge to and fro, were very distressed by opposing winds and failing stores."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-0.9152 ,negative       ,negative      ,fear        ,Topic 2       ,0.5324000120162964 ,"[['one', 15.19], ['ship', 12.26], ['child', 11.74], ['came', 9.95], ['odysseus', 9.18], ['head', 9.08], ['son', 9.08], ['sea', 8.28], ['horse', 7.64], ['ajax', 7.62]]"
Aeschylus ,Agamemnon,10             ,Chorus                ,"The breezes that blew from the Strymon, bringing harmful leisure, hunger, and tribulation of spirit in a cruel port, idle wandering of men, and sparing neither ship nor cable, began, by doubling the season of their stay, to rub away and wither the flower of  Argos ; and when the seer, pointing to Artemis as cause, proclaimed to the chieftains another remedy, more oppressive even than the bitter storm, so that the sons of Atreus struck the ground with their canes and did not stifle their tears—"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-0.8977 ,negative       ,negative      ,sadness     ,Topic 6       ,0.5940999984741211 ,"[['may', 13.25], ['god', 12.32], ['son', 10.52], ['one', 10.25], ['man', 10.09], ['come', 9.71], ['father', 9.03], ['men', 8.57], ['must', 8.4], ['land', 7.85]]"
Aeschylus ,Agamemnon,11             ,Chorus                ," Then the elder king spoke and said: “It is a hard fate to refuse obedience, and hard, if I must slay my child, the glory of my home, and at the altar-side stain a father's hand with streams of virgin's blood.  Which of these courses is not filled with evil?  How can I become a deserter to my fleet and fail my allies in arms? For that they should with all too impassioned passion crave a sacrifice to lull the winds—even a virgin's blood—stands within their right.  May all be for the best.”"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0.795   ,positive       ,positive      ,fear        ,Topic 2       ,0.3382999897003174 ,"[['one', 15.19], ['ship', 12.26], ['child', 11.74], ['came', 9.95], ['odysseus', 9.18], ['head', 9.08], ['son', 9.08], ['sea', 8.28], ['horse', 7.64], ['ajax', 7.62]]"
